Daily Time Spent on Site,Age,Area Income,Gender,Daily Internet Usage,Ad Topic Line,City,Country,Timestamp,Clicked on Ad
68.95,35,61833.9,Female,256.09,Cloned 5thgeneration orchestration,Wrightburgh,Tunisia,3/27/2016 0:53,0
80.23,31,68441.85,Male,193.77,Monitored national standardization,West Jodi,Nauru,4/4/2016 1:39,0
69.47,26,59785.94,Female,236.5,Organic bottom-line service-desk,Davidton,San Marino,3/13/2016 20:35,0
74.15,29,54806.18,Male,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,Italy,1/10/2016 2:31,0
68.37,35,73889.99,Female,225.58,Robust logistical utilization,South Manuel,Iceland,6/3/2016 3:36,0
59.99,,59761.56,Male,226.74,Sharable client-driven software,Jamieberg,Norway,5/19/2016 14:30,0
88.91,33,53852.85,Female,208.36,Enhanced dedicated support,Brandonstad,Myanmar,1/28/2016 20:59,0
66,48,24593.33,Male,131.76,Reactive local challenge,Port Jefferybury,Australia,3/7/2016 1:40,1
74.53,30,68862,Male,221.51,Configurable coherent function,West Colin,Grenada,4/18/2016 9:33,0
69.88,20,55642.32,Male,183.82,Mandatory homogeneous architecture,Ramirezton,Ghana,7/11/2016 1:42,0
47.64,49,45632.51,Female,122.02,Centralized neutral neural-net,West Brandonton,Qatar,3/16/2016 20:19,1
83.07,37,62491.01,Male,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,Burundi,5/8/2016 8:10,0
69.57,48,51636.92,Male,113.12,Centralized content-based focus group,West Katiefurt,Egypt,6/3/2016 1:14,1
79.52,24,51739.63,Female,214.23,Synergistic fresh-thinking array,North Tara,Bosnia and Herzegovina,4/20/2016 21:49,0
42.95,33,30976,Female,143.56,Grass-roots coherent extranet,West William,Barbados,3/24/2016 9:31,1
63.45,23,52182.23,Male,140.64,Persistent demand-driven interface,New Travistown,Spain,3/9/2016 3:41,1
55.39,37,23936.86,Female,129.41,Customizable multi-tasking website,West Dylanberg,Palestinian Territory,1/30/2016 19:20,1
82.03,41,71511.08,Female,187.53,Intuitive dynamic attitude,Pruittmouth,Afghanistan,5/2/2016 7:00,0
54.7,36,31087.54,Male,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,British Indian Ocean Territory (Chagos Archipelago),2/13/2016 7:53,1
74.58,40,23821.72,Male,135.51,Advanced 24/7 productivity,Millertown,Russian Federation,2/27/2016 4:43,1
77.22,30,64802.33,Male,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,Cameroon,1/5/2016 7:52,0
84.59,35,60015.57,Male,226.54,Streamlined non-volatile analyzer,Lake Nicole,Cameroon,3/18/2016 13:22,0
41.49,52,32635.7,Female,164.83,Mandatory disintermediate utilization,South John,Burundi,5/20/2016 8:49,1
87.29,36,61628.72,Male,209.93,Future-proofed methodical protocol,Pamelamouth,Korea,3/23/2016 9:43,0
41.39,41,68962.32,Female,167.22,Exclusive neutral parallelism,Harperborough,Tokelau,6/13/2016 17:27,1
78.74,28,64828,Male,204.79,Public-key foreground groupware,Port Danielleberg,Monaco,5/27/2016 15:25,0
48.53,28,38067.08,Male,134.14,Ameliorated client-driven forecast,West Jeremyside,Tuvalu,2/8/2016 10:46,1
51.95,52,58295.82,Female,129.23,Monitored systematic hierarchy,South Cathyfurt,Greece,7/19/2016 8:32,1
70.2,34,32708.94,Female,119.2,Open-architected impactful productivity,Palmerside,British Virgin Islands,4/14/2016 5:08,1
76.02,22,46179.97,Female,209.82,Business-focused value-added definition,West Guybury,Bouvet Island (Bouvetoya),1/27/2016 12:38,0
67.64,35,51473.28,Male,267.01,Programmable asymmetric data-warehouse,Phelpschester,Peru,7/2/2016 20:23,0
86.41,28,45593.93,Male,207.48,Digitized static capability,Lake Melindamouth,Aruba,3/1/2016 22:13,0
59.05,57,25583.29,Male,169.23,Digitized global capability,North Richardburgh,Maldives,7/15/2016 5:05,1
55.6,23,30227.98,Female,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,Senegal,1/14/2016 14:00,1
57.64,57,45580.92,Male,133.81,Synchronized dedicated service-desk,New Thomas,Dominica,3/15/2016 3:12,1
84.37,30,61389.5,Female,201.58,Synchronized systemic hierarchy,Johnstad,Luxembourg,4/12/2016 3:26,0
62.26,53,56770.79,Male,125.45,Profound stable product,West Aprilport,Montenegro,4/7/2016 15:18,1
65.82,39,76435.3,Female,221.94,Reactive demand-driven capacity,Kellytown,Ukraine,2/9/2016 5:28,0
50.43,46,57425.87,Male,119.32,Persevering needs-based open architecture,Charlesport,Saint Helena,5/7/2016 17:11,1
38.93,39,27508.41,Female,162.08,Intuitive exuding service-desk,Millerchester,Liberia,3/11/2016 6:49,1
84.98,29,57691.95,Female,202.61,Innovative user-facing extranet,Mackenziemouth,Russian Federation,4/27/2016 9:27,0
64.24,30,59784.18,Female,252.36,Front-line intermediate database,Zacharystad,Tunisia,4/16/2016 11:53,0
82.52,32,66572.39,Male,198.11,Persevering exuding system engine,North Joshua,Turkmenistan,5/8/2016 15:38,0
81.38,31,64929.61,Female,212.3,Balanced dynamic application,Bowenview,Saint Helena,2/8/2016 0:23,0
80.47,25,57519.64,Female,204.86,Reduced global support,Jamesberg,Niger,2/11/2016 13:26,0
37.68,52,53575.48,Male,172.83,Organic leadingedge secured line,Lake Cassandraport,Turkmenistan,2/17/2016 13:16,1
